ID,AGE_GROUP,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TAXID,CREDITCARD,DOB,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD,NETREALIZEDLOSSES_YTD
599,Adult,High,F,S,2,38280.0,N,34,173288134,8223235727863312,19760826,31601 ELMTREE BLVD,,NORWALK,IA,50211,0,,,11641.16,74,5820,582,18.5,5,10,0.0,582.058
600,Adult,High,M,S,0,64136.6,Y,61,203803666,7318354915082776,19590707,5098 SADDLE MTN RD,,MESA,AZ,85213,8514,,,16211.62,125,8105,810,31.25,1,9,0.0,810.581
601,Adult,Low,F,M,2,45429.7,Y,62,101334603,5460525020968654,19541004,132 GLEN AVE,,COVEL,WV,24719,0,,,24702.47,73,12351,1235,18.25,4,9,1235.1235,0.0
602,Adult,High,F,S,0,25285.5,N,54,132790673,1012734108931984,19560331,2512 CHRISTOPHER LN,,ARLINGTON,VA,2771,0,,,9370.94,11,2342,234,1.65,2,19,0.0,468.547
603,Adult,High,F,M,2,77551.1,Y,34,155126020,2056384730804301,19740219,9093 ROAD 82 # 3523,,LOCKHART,TX,78644,0,-97.6914,29.8699,20532.05,41,10266,1026,10.25,5,9,0.0,1026.6025
604,Child,Low,F,M,0,38538.4,N,12,129655884,8993688056444504,19240912,9801 RIDGESIDE DR APT 1,,HUNTSVILLE,AL,35801,0,-86.585312,34.733646,22862.29,16,11431,1143,4.0,3,7,1143.1145,0.0
605,Young adult,Medium,M,M,0,92881.8,N,21,944834448,7347134202171055,19230515,1201 US HIGHWAY 9 UNIT 5,,EMERSON,KY,41135,0,,,2150.22,85,537,53,12.75,3,12,0.0,53.7555
606,Young adult,Medium,M,S,2,43634.5,N,22,525244847,8551323168017756,19240621,8600 HAMMONDWOOD RD S,,MANATI,PR,674,0,,,29442.94,104,14721,1472,26.0,3,8,0.0,1472.147
607,Adult,High,F,S,1,13109.1,N,63,147220614,3795289659595191,19640907,834 99TH RD,,GREENSBURG,PA,15601,0,,,22382.24,40,11191,1119,10.0,1,7,0.0,1119.112
608,Adult,High,M,S,1,92647.5,N,56,196806338,1478460657186655,19070729,2399 56TH AVE NW,,NAHANT,MA,1908,0,,,16041.6,10,8020,802,2.5,2,6,0.0,802.08
609,Adult,High,M,S,2,21021.6,Y,63,160597747,7144849110644384,19881216,3100 AVENUE G,,FLUSHING,NY,11358,0,,,2000.2,11,500,50,1.65,1,19,0.0,100.01
610,Adult,Low,M,S,0,74460.7,Y,55,105576206,6746614038953929,19471224,29 CENTER ST,,ELECTRA,TX,76360,0,-98.90898299999999,34.031031,25532.55,179,12766,1276,44.75,4,6,1276.6275,0.0
611,Adult,Low,F,S,2,28787.4,N,42,160152919,7808195041542607,19991219,100 ZIGMYN DR,,DURANGO,CO,81302,0,,,27972.8,58,13986,1398,14.5,2,6,1398.64,0.0
612,Adult,Low,M,M,1,13091.6,N,59,686718593,4531608767447603,19530804,280 CALLE 2 PMB 16973,,SACRAMENTO,CA,95841,0,,,22792.28,20,11396,1139,5.0,3,7,1139.614,0.0
613,Adult,Low,F,M,2,62061.8,Y,46,123938418,2957111474999526,19200302,420 S WILLIAMS ST,,STERRETT,AL,35147,4038,,,29862.99,52,14931,1493,13.0,1,5,1493.1495,0.0
614,Young adult,Low,F,M,1,20550.9,Y,22,540981412,6407866459038978,19451122,PO BOX 702AK,,NORTHUMBERLAND,PA,17857,0,,,27722.77,57,13861,1386,14.25,5,5,1386.1385,0.0
615,Young adult,Medium,M,M,2,1765.41,N,19,160210708,3006045172823054,19241227,D & B AIRCRAFT ENGINES,,MANCOS,CO,81328,0,-108.289902,37.346038,3040.3,44,760,76,6.6,4,14,0.0,76.0075
616,Adult,Low,F,S,2,19131.1,N,56,704717044,8711864789274698,19220718,14701 28TH AVE,,JEWETT,OH,43986,0,,,22152.22,34,11076,1107,8.5,2,8,1107.611,0.0
617,Adult,High,M,M,2,42750.3,Y,50,184513709,1185972403347699,19760721,2 HORSESHOE BEND RD,,FORKED RIVER,NJ,8731,0,,,20592.06,112,10296,1029,28.0,1,8,0.0,1029.603
618,Adult,High,F,S,2,2842.55,N,46,151146723,4522654430922746,19510108,535AI GREENWOOD AVE SE STE 1,,MC KENZIE,AL,36456,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
619,Adult,High,M,M,2,22358.1,N,53,119527167,6022296767803873,19990524,100 JOPLIN ST,,PRESTON,MD,21655,0,,,15541.55,12,7770,777,3.0,3,5,0.0,777.0775
620,Young adult,High,M,M,0,47870.8,Y,27,149667724,3317872902275836,19340424,266 ALTA VIEW DR SW,,SEASIDE,CA,93955,0,,,2000.2,12,500,50,1.8,2,15,0.0,100.01
621,Adult,Low,F,S,2,6440.46,Y,43,136870256,6561358580038929,19430130,PO BOX 6178,,HARRISBURG,MO,65256,0,,,22662.27,27,11331,1133,6.75,2,9,1133.1135,0.0
622,Adult,Low,F,S,0,7325.5,N,37,148213573,3697414810745873,19691129,16707 EARL PARK CT,,URBANA,IL,61801,5054,,,28522.85,161,14261,1426,40.25,3,5,1426.1425,0.0
623,Adult,High,M,M,2,28766.9,N,47,783803341,8113886851977471,19600603,625 ADDISON LOOMIS PMB 21391,,PAINT ROCK,AL,35161,0,,,6110.61,58,1527,152,8.7,3,18,0.0,305.5305
624,Adult,Medium,M,S,0,72928.2,N,39,768248436,3154473903439604,19840502,451 COLLEGE ST RM 225,,CYNTHIANA,KY,41031,0,-84.29228499999999,38.387397,7450.75,196,1862,186,29.4,2,11,0.0,186.26875
625,Young adult,Low,M,M,2,91272.2,Y,25,158488515,4001975451962396,19430316,D61 VILLA REAL,,NEW YORK,NY,10010,0,,,26992.7,13,13496,1349,3.25,4,7,1349.635,0.0
626,Adult,Low,M,S,0,65000.0,Y,52,128109850,1944873910888488,19570907,699 W AVENUE D,,TYLER,TX,75702,0,,,11631.16,115,5815,581,28.75,2,6,581.558,0.0
627,Young adult,High,M,M,2,1406.05,Y,19,149231707,6162277051381881,19241102,100 BANKS LN,,UNION SPRINGS,AL,36089,0,,,11551.16,15,5775,577,3.75,4,9,0.0,577.558
628,Adult,High,F,S,0,73228.3,N,46,141713626,1057408280244949,19681014,F1 CALLE MARGARITA ESTEVA,,STERLING,KS,67579,0,-98.20043000000001,38.211836,22472.25,28,11236,1123,7.0,4,5,0.0,1123.6125
629,Adult,Medium,F,S,2,76231.9,N,64,460455455,6033872188633381,19800721,869 E NELSON ST,,NORWALK,CT,6858,5001,,,2010.2,150,502,50,22.5,1,10,0.0,50.255
630,Adult,Low,M,M,1,64792.3,N,52,107771476,1852991657682179,19430629,37554 N 14TH ST,,EULESS,TX,76040,0,,,13051.31,36,6525,652,9.0,2,8,652.5655,0.0
631,Adult,Low,F,S,0,93322.1,Y,40,130768929,2744752039696132,19700419,371 B AVE W,,MAYAGUEZ,PR,682,0,,,29922.99,8,14961,1496,2.0,2,6,1496.1495,0.0
632,Adult,High,M,M,1,63437.3,N,64,561790058,2872234203016903,19350425,HC 75 BOX 325,,GREENSBORO,NC,27407,0,,,680.07,10,170,17,1.5,3,17,0.0,34.0035
633,Adult,Low,M,M,2,49910.7,Y,52,258137853,1842711275748977,19301102,A624 DORCHESTER AVE,,FLUSHING,NY,11355,0,,,27422.74,23,13711,1371,5.75,5,8,1371.137,0.0
634,Adult,High,M,M,1,76161.4,Y,45,711465847,7173081579343316,19330716,226 PHELAND ST,,WEST CHESTER,OH,45069,0,,,11961.2,25,5980,598,6.25,2,9,0.0,598.06
635,Child,High,F,M,2,55860.0,Y,15,185834890,2464487045449866,19910211,673 VERA AVE,,HOUSTON,TX,77027,3511,,,16011.6,10,8005,800,2.5,2,7,0.0,800.58
636,Senior,High,F,S,1,12686.0,N,65,120297230,9201890071455641,19960315,PO BOX 597,,IRONS,MI,49644,0,,,23232.32,80,11616,1161,20.0,5,10,0.0,1161.616
637,Adult,Medium,M,M,2,57360.8,Y,53,123671069,3913406478203193,19000103,11040 HIGHWAY 19 # 3640,,CINCINNATI,OH,45206,0,-84.47524399999999,39.125873999999996,10361.04,57,5180,518,14.25,1,6,0.0,518.052
638,Adult,Low,M,M,0,92414.7,Y,46,118307139,7572048418905360,19861125,4133 LARAMIE LN APT 1,,FOXBORO,MA,2035,0,,,29432.94,10,14716,1471,2.5,5,5,1471.647,0.0
639,Adult,High,M,M,0,60102.7,N,42,102355204,8851808313279267,19341117,200 RUTA 474,,FAYETTEVILLE,AR,72701,0,-94.164527,36.062768,9840.98,62,2460,246,9.3,4,15,0.0,492.049
640,Adult,High,F,M,2,17888.7,N,53,695204524,8839285214798002,19200126,411 108TH AVE NE STE 1980,,OPELIKA,AL,36801,5990,,,29412.94,332,14706,1470,83.0,1,8,0.0,1470.647
641,Adult,Low,F,S,1,12526.3,N,54,913498135,2180866193176431,19761116,PO BOX 13699,,WORCESTER,NY,12197,0,,,11721.17,28,5860,586,7.0,4,7,586.0585,0.0
642,Adult,High,F,S,2,14578.8,Y,61,477597589,8237026408359578,19341105,2201 STONY RIDGE DR,,GUAYAMA,PR,784,0,,,11911.19,95,5955,595,23.75,3,5,0.0,595.5595
643,Adult,High,M,M,0,78572.2,Y,42,138192311,4186419419313633,19041005,PO BOX 2146,,GREENSBURG,PA,15601,0,,,21812.18,29,10906,1090,7.25,4,7,0.0,1090.609
644,Young adult,Medium,M,M,1,3933.74,N,18,133073399,8239159734084945,19860223,3031 HOLSTON SHORES DR,,SACRAMENTO,CA,95820,0,,,9750.98,47,2437,243,7.05,5,10,0.0,243.7745
645,Adult,Low,F,M,2,48238.8,N,35,101857900,7536337384591230,19220927,198 COUNTY ROAD 4222,,TOPEKA,KS,66606,0,-95.723773,39.05657,23282.33,168,11641,1164,42.0,1,6,1164.1165,0.0
646,Child,Low,F,M,0,28770.9,N,12,836546551,7331396272712959,19291002,903 SHEEHY DR STE F,,LOS ANGELES,CA,90028,0,,,27992.8,16,13996,1399,4.0,1,5,1399.64,0.0
647,Adult,Medium,F,M,2,87578.2,Y,53,203545104,2210263769309418,19500910,5247 RELLUK DR,,PADEN,OK,74860,0,,,290.03,22,72,7,3.3,1,15,0.0,7.25075
648,Child,Low,F,M,2,86695.4,N,14,716232444,4988441834771386,19300524,4927 N STATE ROUTE 19,,LAGRANGE,GA,30240,0,-85.02892800000001,33.021887,25942.59,32,12971,1297,8.0,5,8,1297.1295,0.0
649,Adult,High,F,S,2,76791.2,N,43,200530134,8375147074962221,19801010,312 SHANNON DR,,SEATAC,WA,98188,0,,,20712.07,23,10356,1035,5.75,2,9,0.0,1035.6035
650,Child,Low,F,S,1,30763.8,Y,14,108323907,5901708613280210,19390312,55 CARR 188 APT 27,,GRAND RAPIDS,MI,49506,0,,,21322.13,35,10661,1066,8.75,3,10,1066.1065,0.0
651,Adult,High,F,M,2,3193.6,N,54,654260385,4205733819876819,19640915,PO BOX 371,,SHAMROCK,TX,79079,0,,,4190.42,114,1047,104,17.1,2,15,0.0,209.521
652,Child,Medium,M,M,1,69680.9,N,16,156923270,4736884991306038,19541215,2272 S 75 E,,SAN ANTONIO,TX,78238,3801,,,7670.77,32,1917,191,4.8,5,12,0.0,191.76925
653,Adult,Low,F,M,0,77000.0,N,63,417891153,3327874585205221,19400315,91 PLUMMER AVE,,HURST,TX,76054,0,,,29642.96,90,14821,1482,22.5,1,7,1482.148,0.0
654,Young adult,High,M,D,0,2056.06,Y,19,849229379,1699689552403643,19140326,4968 COUNTY ROAD 181,,ARECIBO,PR,612,0,,,24072.41,27,12036,1203,6.75,2,10,0.0,1203.6205
655,Adult,Low,F,M,2,7776.6,N,36,189997491,4588711658846811,19280524,PO BOX 1,,SAINT LOUIS,MO,63104,0,-90.204365,38.619298,25872.59,68,12936,1293,17.0,2,6,1293.6295,0.0
656,Adult,Low,M,M,1,2067.82,N,48,433740005,9213229593420521,19830531,701 1ST AVE,,ELMSFORD,NY,10523,0,,,15251.53,70,7625,762,17.5,3,9,762.5765,0.0
657,Adult,Medium,M,S,0,78000.0,N,46,213032788,9509646495464661,19131202,211 INTERCHANGE DR NE APT AN-101,,SPRINGFIELD,MA,1104,0,-72.593214,42.111331,4580.46,8,1145,114,1.2,5,11,0.0,114.5115
658,Adult,Medium,F,M,2,69343.3,N,42,168231456,5889349059726780,19950325,PO BOX 433944,,MAYAGUEZ,PR,680,1921,,,6360.64,15,1590,159,2.25,5,15,0.0,159.016
659,Adult,Medium,F,M,0,83287.0,N,42,185087627,8297946610232626,19830420,459 W CAMPGROUND RD,,SCRANTON,PA,18510,0,-75.658536,41.410253000000004,570.06,23,142,14,3.45,5,15,0.0,14.2515
660,Senior,High,F,M,0,14932.5,N,70,443299694,6134303642099821,19360621,11620 RABBIT RUN RD LOT 45,,HITCHCOCK,TX,77563,0,,,4910.49,6,1227,122,0.9,4,17,0.0,245.5245
661,Senior,High,F,S,0,27498.1,N,70,612545678,5773916114016782,19800920,243 RIDGE AVE,,AUSTIN,TX,78744,0,,,2200.22,9,550,55,1.35,4,19,0.0,110.011
1420,Young adult,Low,F,S,0,64335.0,Y,19,109701796,8303069562111473,19820324,PO BOX 6113,,MONROE,LA,71203,0,-92.07011899999999,32.504599,17001.7,137,8500,850,34.25,5,10,850.085,0.0
1421,Adult,Low,F,M,2,62061.8,Y,46,692753549,1323345910073143,19170814,PO BOX 13938,,LEWISTOWN,IL,61542,0,,,29862.99,52,14931,1493,13.0,5,7,1493.1495,0.0
1422,Young adult,High,F,M,1,20550.9,Y,22,159128164,3228163443106566,19301130,740AU NORTH ST STE 1,,KINNELON,NJ,7405,0,,,27722.77,57,13861,1386,14.25,5,5,0.0,1386.1385
1423,Adult,High,F,S,0,76142.0,N,32,839706944,7730738424750270,19910618,11912 N DIXIE DR,,BOWMAN,CA,95604,0,,,28422.84,84,14211,1421,21.0,5,5,0.0,1421.142
1424,Adult,High,F,M,1,46513.5,N,30,137855978,1618583271917047,19450515,89-965 NANAKULI AVE,,CHAMBERSBURG,PA,17201,0,-77.670056,39.934419,17061.71,41,8530,853,10.25,5,6,0.0,853.0855
1425,Young adult,High,M,S,1,1765.41,N,19,570494893,4313259864526256,19520815,8468 47TH AVE NW,,SEATTLE,WA,98168,0,-122.30808700000001,47.494678,3040.3,44,760,76,6.6,5,20,0.0,152.015
1426,Adult,Low,F,S,2,19131.1,N,56,135256015,6944397712704774,19790531,3884 WILLIAMSON AVE NE,,TECUMSEH,OK,74873,0,-96.930121,35.267922999999996,22152.22,34,11076,1107,8.5,2,8,1107.611,0.0
1427,Adult,High,F,S,0,98716.3,N,56,187563436,1350855940189073,19160708,63 S 141 E,,GREENSBURG,PA,15601,0,,,20972.1,13,10486,1048,3.25,2,5,0.0,1048.605
1428,Adult,Low,F,S,2,38280.0,N,34,669335826,7723056411857032,19050618,450 E FREEHOLD RD,,MINNEAPOLIS,MN,55487,452,,,11641.16,74,5820,582,18.5,1,6,582.058,0.0
1429,Adult,Low,F,S,2,6440.46,Y,46,102286641,7473837076731639,19041026,553 FALL MOUNTAIN RD,,LEAVENWORTH,KS,66048,0,-94.910907,39.319592,22662.27,27,11331,1133,6.75,4,5,1133.1135,0.0
1430,Young adult,Medium,M,M,1,63900.9,N,28,622592778,3793497655450181,19710706,2 CLOVER LANE CT,,RHINEBECK,NY,12572,0,,,8360.84,39,2090,209,5.85,5,11,0.0,209.021
1431,Adult,High,M,M,2,28766.9,N,47,160454281,2862379810738866,19950602,2101 AVENUE H,,MANILLA,IN,46150,0,,,6110.61,58,1527,152,8.7,3,15,0.0,305.5305
1432,Adult,High,F,M,1,56722.8,N,61,998832101,3112618510095927,19971212,255 COUNTY ROAD 4120,,EAST ORANGE,NJ,7018,4055,,,17371.74,51,8685,868,12.75,3,5,0.0,868.587
1433,Child,Medium,M,M,1,5252.29,N,16,745846145,2924828479142047,19980527,87501 US HIGHWAY 66,,CAMARGO,IL,61919,0,,,2650.27,17,662,66,2.55,1,12,0.0,66.25675
1434,Adult,High,F,M,0,78851.3,N,48,255200374,1541007956780339,19821029,460 MAY VALLEY LN APT E,,CARYVILLE,FL,32427,0,,,370.04,28,92,9,4.2,4,15,0.0,18.502
1435,Adult,Medium,M,S,0,72928.2,N,39,127557640,6900083703852904,19110511,710 ORLANDO AVE APT 1F,,DORADO,PR,646,0,,,7450.75,196,1862,186,29.4,5,12,0.0,186.26875
1436,Young adult,Low,M,M,2,91272.2,Y,25,74798825,7418702101831712,19110415,2613 LITTLE DRY RUN RD,,CIDRA,PR,739,0,,,26992.7,13,13496,1349,3.25,1,9,1349.635,0.0
1437,Adult,High,F,M,0,83891.9,Y,61,185581631,9720404562108261,19021230,2058 W TYLER AVE,,CLIFTON,NJ,7011,0,,,28922.89,45,14461,1446,11.25,5,9,0.0,1446.1445
1438,Adult,High,M,S,0,3601.71,N,49,392744427,4135518724516379,19331001,806 MACY ST,,ELY,NV,89301,0,,,9570.96,111,2392,239,16.65,5,18,0.0,478.548
1439,Senior,High,F,S,0,73228.3,N,70,938717789,7959317417285037,19000401,12746 US 52 HWY S,,ARECIBO,PR,612,0,,,22472.25,28,11236,1123,7.0,4,8,0.0,1123.6125
1440,Adult,High,M,M,1,64792.3,N,52,273741609,8847260717610536,19630807,1724 WHITEHAVEN,,GLYNDON,MN,56547,0,,,13051.31,36,6525,652,9.0,5,7,0.0,652.5655
1441,Adult,Medium,F,S,0,93322.1,Y,40,413103451,6683911507239452,19430718,95 W 25TH ST APT 1,,WAPPINGERS FALLS,NY,12590,1723,,,29922.99,8,14961,1496,2.0,2,7,0.0,1496.1495
1442,Adult,Low,M,M,2,49910.7,Y,52,285981585,3548605748235811,19320717,5621 MCCARTY RD,,EVERETT,WA,98205,0,,,27422.74,23,13711,1371,5.75,4,5,1371.137,0.0
1443,Adult,Low,M,M,1,76161.4,Y,45,181073923,7266960476329540,19990621,2000 CALLE 4,,CAROLINA,PR,979,0,,,11961.2,25,5980,598,6.25,3,9,598.06,0.0
1444,Child,High,F,M,2,55860.0,Y,15,140936864,5227501608888292,19240109,3801 YOSEMITE BLVD STE F,,HOUSTON,TX,77024,7776,,,16011.6,10,8005,800,2.5,3,7,0.0,800.58
1445,Adult,High,M,M,2,57360.8,Y,53,142140981,4623142905124456,19720312,843 EUCLID ST APT 101S,,KIRKLAND,WA,98034,0,-122.209175,47.709619,10361.04,57,5180,518,14.25,1,10,0.0,518.052
1446,Adult,Low,M,M,1,92414.7,Y,46,124532194,7026205114555801,19990511,35 CALLE A,,SAINT LOUIS,MO,63115,0,-90.23914599999999,38.686518,29432.94,10,14716,1471,2.5,3,10,1471.647,0.0
1447,Adult,Low,F,S,2,14578.8,Y,61,170799553,3238606355951774,19050624,PO BOX 80,,MARLTON,NJ,8053,0,,,11911.19,95,5955,595,23.75,1,9,595.5595,0.0
1448,Adult,Medium,F,M,2,87578.2,Y,53,147903700,7039211534245489,19260130,2657 S LAUREL ST,,GRAND RAPIDS,MI,49503,0,-85.679862,42.944807,290.03,22,72,7,3.3,3,15,0.0,7.25075
1449,Child,Low,F,M,2,86695.4,N,14,195145642,5046593987911290,19560314,840 BUELLS BEACH RD,,DIX HILLS,NY,11746,0,,,25942.59,32,12971,1297,8.0,4,10,1297.1295,0.0
1450,Adult,High,F,M,0,66666.0,N,60,739697783,5294610467942768,19610917,3016 CLASS OF 22 HALL,,NEW YORK,NY,10009,0,-73.977822,40.720898,29642.96,90,14821,1482,22.5,3,8,0.0,1482.148
1451,Adult,High,M,M,1,2067.82,N,48,428571325,9200924970915381,19970530,1801 SAWMILL RD,,EAST DURHAM,NY,12423,0,,,15251.53,70,7625,762,17.5,2,9,0.0,762.5765
1452,Young adult,High,M,S,0,30665.2,Y,23,496726324,1723363234128175,19151026,7050 INWOOD PARK DR APT 35,,FOXBORO,MA,2035,0,,,5830.58,63,1457,145,9.45,5,16,0.0,291.529
1453,Adult,High,F,M,1,77000.0,Y,48,183495778,4913434036708240,19810922,150 BROADWAY PMB 20010,,SAGAMORE BEACH,MA,2562,0,,,6080.61,30,1520,152,4.5,4,19,0.0,304.0305
1454,Adult,High,F,M,1,98680.4,Y,43,126827826,4290002322302697,19191223,2228 N 1075 E,,BRIGHAM CITY,UT,84302,0,,,17581.76,8,8790,879,2.0,4,9,0.0,879.088
1455,Adult,High,M,M,0,65619.7,Y,46,187528610,2389611922518173,19610310,4191 MIDVALE AVE N,,CEDAR RAPIDS,IA,52404,0,,,13561.36,144,6780,678,36.0,3,9,0.0,678.068
1456,Adult,Low,F,M,1,95620.3,Y,46,753990671,2816650790463840,19230615,PO BOX 71,,BOSTON,MA,2111,1439,,,10911.09,93,5455,545,23.25,1,7,545.5545,0.0
1457,Senior,High,F,S,0,85275.0,N,70,473354774,6621175302151597,19880629,HC 6 BOX 98288,,HOMESTEAD,FL,33032,0,-80.396363,25.514820999999998,22482.25,151,11241,1124,37.75,1,9,0.0,1124.1125
1458,Adult,High,F,M,1,66921.4,Y,55,160343682,7884918842478858,19081023,1499 E DECATUR ST,,HUNTSVILLE,AL,35801,0,-86.585312,34.733646,15701.57,8,7850,785,2.0,5,5,0.0,785.0785
1459,Adult,Low,F,M,1,98453.6,Y,52,142332649,8413546659790236,19281201,3801 AVENUE D,,VENICE,FL,34285,0,-82.435426,27.100169,13721.37,11,6860,686,2.75,4,9,686.0685,0.0
1460,Adult,High,F,S,2,57420.0,Y,43,149622119,9588172231254753,19350424,401 SAWGRASS HILL CT,,DAPHNE,AL,36526,4652,,,25182.52,252,12591,1259,63.0,2,6,0.0,1259.126
1461,Young adult,Medium,M,M,0,58986.2,N,27,785459535,2725277542383942,19110604,3066 E ANNE ST,,VERSAILLES,OH,45380,0,,,3930.39,26,982,98,3.9,5,13,0.0,98.25975
1462,Adult,Low,F,M,2,47639.1,N,61,880385659,8722698414258261,19240503,993 NORRIS LN,,SAN ANTONIO,TX,78247,0,,,17481.75,39,8740,874,9.75,3,6,874.0875,0.0
1463,Young adult,Low,F,S,0,39461.0,N,22,347569643,6099117268539379,19640510,PO BOX 106,,FAYETTEVILLE,NC,28304,0,,,22872.29,103,11436,1143,25.75,4,9,1143.6145,0.0
1464,Adult,Medium,M,M,1,47371.0,Y,55,824392098,4511969062817314,19511028,1900 AVENUE U,,WEATHERFORD,TX,76088,0,,,4980.5,258,1245,124,38.7,3,14,0.0,124.5125
1465,Child,Low,F,S,0,89813.6,N,13,113558603,5895385365820028,19380407,2939 W EPPLER DR,,PROVO,UT,84606,0,,,14941.49,149,7470,747,37.25,1,7,747.0745,0.0
1466,Young adult,Medium,M,S,1,16432.1,Y,21,162314604,4645644870210346,19061025,4914 2ND ST SW,,CHICAGO,IL,60609,0,-87.626832,41.83076,20412.04,80,10206,1020,20.0,5,5,0.0,1020.602
1467,Adult,High,F,S,1,540.4,Y,39,831871981,1237587243691292,19940318,542 BROWDERS LOOP W,,PRESTON,CT,6365,0,,,12341.23,7,6170,617,1.75,1,9,0.0,617.0615
1468,Adult,Medium,F,M,2,80087.7,N,42,843918699,6822531688004582,19720512,6106 DUCK CREEK DR APT 8101,,HUNTSVILLE,AL,35810,0,,,8740.87,22,2185,218,3.3,5,12,0.0,218.52175
1469,Adult,Low,F,M,2,59691.3,N,38,201589047,3004518032570752,19820724,230 GLEN AVE,,EASTCHESTER,NY,10709,0,,,21942.19,256,10971,1097,64.0,5,10,1097.1095,0.0
1470,Adult,High,F,S,2,11251.1,Y,46,177058977,8575189326283656,19830724,81 RES FCO FIGUEROA,,ASTORIA,NY,11105,0,,,28422.84,113,14211,1421,28.25,5,10,0.0,1421.142
1471,Adult,High,M,S,1,37626.0,N,34,111766030,7304420833220883,19771216,PO BOX 1133,,GARDNER,KS,66051,0,,,7500.75,71,1875,187,10.65,5,16,0.0,375.0375
1472,Young adult,High,F,S,2,3416.62,Y,23,281510276,5244281345844291,19150318,14343 PARNELL RD,,TIPTON,IA,52772,0,,,18971.9,104,9485,948,26.0,2,9,0.0,948.595
1473,Adult,Low,F,S,0,93454.3,Y,49,205657135,8533724616444889,19580207,272 VALLEY RD STE 3,,LAS VEGAS,NV,89110,0,-115.09338100000001,36.160109999999996,18941.89,25,9470,947,6.25,2,5,947.0945,0.0
1474,Child,Low,M,M,0,5745.0,Y,15,780915899,1436158097317430,19660714,1400 PASEO LA PALMA APT 34,,MAYAGUEZ,PR,680,0,,,26402.64,17,13201,1320,4.25,3,7,1320.132,0.0
1475,Young adult,Low,F,M,1,13829.4,N,20,422447140,7794876565980750,19390327,701 S PROVIDENCE RD APT 3A,,SPRINGFIELD,NJ,7081,0,,,45004.5,8,22502,2250,2.0,5,7,2250.225,0.0
1476,Adult,High,F,M,2,11234.7,Y,49,133049752,2313844732732976,19610526,15017 TURTLE POND CT,,MATAWAN,NJ,7747,0,,,690.07,112,172,17,16.8,1,19,0.0,34.5035
1477,Senior,High,F,M,1,82931.3,N,65,202623784,9087455370538495,19651122,5708 E BERNADINE DR,,ASTORIA,NY,11102,0,-73.93389300000001,40.774694000000004,19241.92,118,9620,962,29.5,3,10,0.0,962.096
1478,Adult,High,F,M,2,57483.9,N,44,213044267,2355166389259570,19331025,6332 SW 26TH ST,,UNION GROVE,WI,53182,0,,,17011.7,27,8505,850,6.75,2,9,0.0,850.585
1479,Adult,Low,F,S,2,21274.0,N,46,662050880,8351709026080404,19180801,406 W MOFFETT ST,,PHOENIX,AZ,85009,0,,,10871.09,32,5435,543,8.0,1,5,543.5545,0.0
1480,Adult,Low,F,M,2,28267.0,N,30,183021062,7885539817524025,19640204,302 ROBINSON RD,,DAVENPORT,ND,58021,0,,,21872.19,192,10936,1093,48.0,4,5,1093.6095,0.0
1481,Adult,High,F,M,2,36725.1,N,56,722656813,8552170671913285,19950712,113 SAXON LN,,COVINA,CA,91722,0,,,8650.87,77,2162,216,11.55,4,18,0.0,432.5435
1482,Adult,High,M,S,1,94188.3,N,58,109062220,1673288620218999,19050205,898 INTERSTATE 70 IND DR,,ANAMOSA,IA,52205,0,,,20862.09,19,10431,1043,4.75,5,8,0.0,1043.1045
1483,Adult,High,F,M,2,91861.0,Y,42,179453300,4534487205108263,19690106,135 E 42ND ST FL 69,,ALTOONA,PA,16601,0,-78.397817,40.517621000000005,15321.53,6,7660,766,1.5,5,6,0.0,766.0765
1484,Adult,Low,F,S,1,12374.9,Y,33,906152591,4266984412345608,19080510,201 CORPORATE DR,,DALLAS,TX,75231,4517,,,17491.75,106,8745,874,26.5,1,10,874.5875,0.0
1485,Young adult,Medium,F,M,2,69133.9,Y,27,211416827,6523980191603659,19250128,1300 AVENUE Q,,CAGUAS,PR,725,0,,,8580.86,37,2145,214,5.55,2,15,0.0,214.5215
1486,Young adult,Low,F,M,2,84948.0,Y,29,205473940,8852096703875537,19610422,5355AP COLONY DR N STE 1,,LONG BEACH,IN,46360,0,-86.896201,41.717369,11141.11,12,5570,557,3.0,1,5,557.0555,0.0
1487,Adult,High,F,M,2,30998.8,N,41,166014326,5787269781667210,19731021,1935 EASTCHESTER RD APT 27A,,RUSTON,LA,71270,0,-92.629521,32.531971,2400.24,50,600,60,7.5,5,17,0.0,120.012
1488,Child,High,M,S,0,15924.2,N,14,684771601,8388105607514637,19550727,1 CARR 643,,PERRYTON,TX,79070,0,,,0.0,0,0,0,0.0,0,0,0.0,0.0
1489,Adult,High,M,M,2,21416.5,N,36,151069258,8778834164333427,19010320,828 SOUTH AVE,,TITUSVILLE,NJ,8560,0,,,9900.99,8,2475,247,1.2,2,18,0.0,495.0495
